"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://nmgtechnologies.com/","text/html; charset=UTF-8","200","OK","Indexable","","IT Outsource Software, Web & Mobile App Development Company - NMG","65","640","NMG Technologies is a leading IT outsourcing company with over 15+ years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","177","1156","","0","Transforming Businesses with AI-Driven Innovation.","50","","0","Our Blog","8","","","","https://nmgtechnologies.com/","","","","","","190584","26723","26723","10.237","","947","176","5.381","51.291","Fairly Hard","4.215","0","0","","147","111","0","100.000","103","67","0","5","5","0","","","","","da27f4c9d0df0f7a8b99ea099088aa56","0.065","Wed, 20 May 2026 12:16:04 GMT","","","","en","1.1","","","","","","https://nmgtechnologies.com/","2026-06-06 10:16:28"
"https://nmgtechnologies.com/hs-fs/hubfs/london-logo.png?width=168&height=50&name=london-logo.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","12876","12876","12876","4.933","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.191","Sat, 16 Aug 2025 11:23:59 GMT","","","","","1.1","","","","","","https://nmgtechnologies.com/hs-fs/hubfs/london-logo.png?width=168&height=50&name=london-logo.png","2026-06-06 10:16:35"
"https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/79288942228/1779279328752/template_theme-overrides.min.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","all","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.841","Wed, 20 May 2026 12:15:30 GMT","","","","","1.1","","","","","","https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/79288942228/1779279328752/template_theme-overrides.min.css","2026-06-06 10:16:35"
"https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","text/html; charset=UTF-8","200","OK","Indexable","","Best Enterprise Mobility Services in 2024 | NMG Technologies","60","542","Boost efficiency & connectivity with Enterprise Mobility Management Solutions & Security developed by NMG tech experts.  Get a Free Quote!","138","890","","0","Enterprise Mobility","19","Streamline Your Operations with Our Enterprise Mobility Solutions.","66","Our Enterprise Mobility Solutions.","34","","","","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","","","","","","161025","24871","24871","9.528","","1731","278","6.227","40.894","Hard","8.408","1","3","","113","111","0","100.000","83","55","0","5","5","0","","","","","986934c58f0c0d452fceb72a17c8845e","0.175","Thu, 04 Jun 2026 01:03:56 GMT","","","","en","1.1","","","","","","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","2026-06-06 10:16:35"
"https://nmgtechnologies.com/wordpress-development","text/html; charset=UTF-8","200","OK","Indexable","","WordPress Development","21","218","Get WordPress Development That Converts. Hire our dedicated WordPress developers who build User-Friendly, SEO-Optimized sites that Drive Results.","145","954","","0","WordPress Development Company","29","Expert WordPress Web Development Company For Custom Solutions.","62","Custom WordPress Development Services We Offer.","47","","","","https://nmgtechnologies.com/wordpress-development","","","","","","161724","25101","25101","9.616","","1814","300","6.047","41.665","Hard","8.833","1","0","","112","111","0","100.000","84","55","0","5","5","0","","","","","ceb7496a57af78b156e98aea2772279c","0.220","Wed, 20 May 2026 12:16:23 GMT","","","","en","1.1","","","","","","https://nmgtechnologies.com/wordpress-development","2026-06-06 10:16:35"
"https://nmgtechnologies.com/solution/portals/","text/html; charset=UTF-8","200","OK","Indexable","","Web Portal Development Services - Ecommerce Portal Apps for Business","68","642","NMG Technologies is one of the leading Web Portal Development Services company delivering integrated solutions to businesses.","125","823","","0","Web Portal Development","22","Top-Notch Web Portal Development Services For Streamlined Operations.","69","Web Portal Development Services We Offer","40","","","","https://nmgtechnologies.com/solution/portals/","","","","","","155108","24455","24455","9.368","","1792","298","6.013","39.038","Hard","9.091","1","2","","224","111","0","100.000","82","55","0","5","5","0","","","","","7511b94440b0dee189ccbbde195948b7","0.222","Thu, 04 Jun 2026 01:04:33 GMT","","","","en","1.1","","","","","","https://nmgtechnologies.com/solution/portals/","2026-06-06 10:16:35"
"https://nmgtechnologies.com/company/about-us","text/html; charset=UTF-8","200","OK","Indexable","","About NMG Technologies - Software, Web & Mobile App Development Company","71","703","NMG Technologies is dedicated to building robust and scalable software, web and mobile solutions for businesses through an innovative approach, to provide you the best services.","177","1137","","0","NMG: Your Global Digital Solutions Partner.","43","SOFTWARE DEVELOPMENT","20","MOBILE APP DEVELOPMENT","22","","","","https://nmgtechnologies.com/company/about-us","","","","","","100725","15496","15496","5.936","","199","50","3.980","53.576","Fairly Hard","2.925","1","1","","223","111","0","100.000","76","52","0","5","5","0","","","","","a46ea5effb6d844879c807e0b5098dca","0.834","Wed, 20 May 2026 12:16:16 GMT","","","","en","1.1","","","","","","https://nmgtechnologies.com/company/about-us","2026-06-06 10:16:36"
"https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/73070272305/1742178316839/template_slider.min.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","all","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.785","Sat, 16 Aug 2025 12:03:41 GMT","","","","","1.1","","","","","","https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/73070272305/1742178316839/template_slider.min.css","2026-06-06 10:16:36"
"https://nmgtechnologies.com/resources/library/","text/html; charset=UTF-8","200","OK","Indexable","","Most Resourceful Content for Businesses to Get Started | NMG Technologies","73","678","A variety of resources to help you build great products, and make your business customer-centric. Check our Downloads,  Articles, Webinars & Videos.","148","942","","0","NMG Library","11","Guides","6","Downloads","9","","","","https://nmgtechnologies.com/resources/library/","","","","","","153171","19397","19397","7.431","","212","54","3.926","59.988","Fairly Hard","1.946","1","2","","229","111","0","100.000","98","60","0","14","10","0","","","","","2ca556370aef0446060ceea5bc68c9f5","0.065","Wed, 20 May 2026 12:16:13 GMT","","","","en","1.1","","","","","","https://nmgtechnologies.com/resources/library/","2026-06-06 10:16:37"
"https://nmgtechnologies.com/hs-fs/hubfs/clutch-global.png.png?width=161&height=138&name=clutch-global.png.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","10452","10452","10452","4.004","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.049","Sat, 16 Aug 2025 11:24:55 GMT","","","","","1.1","","","","","","https://nmgtechnologies.com/hs-fs/hubfs/clutch-global.png.png?width=161&height=138&name=clutch-global.png.png","2026-06-06 10:16:38"
