"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://nmgtechnologies.com/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet Of Things","200","OK","true","","","Absolute","//body/div[2]/div[1]/header/div[2]/div[@class='header__column']/div/div[1]/div/nav/ul/li[2]/ul/li[7]/a","Navigation","HTML"
"Hyperlink","https://nmgtechnologies.com/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet of Things","200","OK","true","_self","","Absolute","//body/div[2]/div[2]/footer/div/div/div/div/div[3]/div/div[1]/div[4]/div/div/div/span/div/ul/li[7]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet Of Things","200","OK","true","","","Absolute","//body/div[2]/div[1]/header/div[2]/div[@class='header__column']/div/div[1]/div/nav/ul/li[2]/ul/li[7]/a","Navigation","HTML"
"Hyperlink","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet of Things","200","OK","true","_self","","Absolute","//body/div[2]/div[2]/footer/div/div/div/div/div[3]/div/div[1]/div[4]/div/div/div/span/div/ul/li[7]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/wordpress-development","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet Of Things","200","OK","true","","","Absolute","//body/div[2]/div[1]/header/div[2]/div[@class='header__column']/div/div[1]/div/nav/ul/li[2]/ul/li[7]/a","Navigation","HTML"
"Hyperlink","https://nmgtechnologies.com/wordpress-development","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet of Things","200","OK","true","_self","","Absolute","//body/div[2]/div[2]/footer/div/div/div/div/div[3]/div/div[1]/div[4]/div/div/div/span/div/ul/li[7]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/solution/portals/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet Of Things","200","OK","true","","","Absolute","//body/div[2]/div[1]/header/div[2]/div[@class='header__column']/div/div[1]/div/nav/ul/li[2]/ul/li[7]/a","Navigation","HTML"
"Hyperlink","https://nmgtechnologies.com/solution/portals/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet of Things","200","OK","true","_self","","Absolute","//body/div[2]/div[2]/footer/div/div/div/div/div[3]/div/div[1]/div[4]/div/div/div/span/div/ul/li[7]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/company/about-us","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet Of Things","200","OK","true","","","Absolute","//body/div[2]/div[1]/header/div[2]/div[@class='header__column']/div/div[1]/div/nav/ul/li[2]/ul/li[7]/a","Navigation","HTML"
"Hyperlink","https://nmgtechnologies.com/company/about-us","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet of Things","200","OK","true","_self","","Absolute","//body/div[2]/div[2]/footer/div/div/div/div/div[3]/div/div[1]/div[4]/div/div/div/span/div/ul/li[7]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/resources/library/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet Of Things","200","OK","true","","","Absolute","//body/div[2]/div[1]/header/div[2]/div[@class='header__column']/div/div[1]/div/nav/ul/li[2]/ul/li[7]/a","Navigation","HTML"
"Hyperlink","https://nmgtechnologies.com/resources/library/","https://nmgtechnologies.com/solution/internet-of-things/","167260","","Internet of Things","200","OK","true","_self","","Absolute","//body/div[2]/div[2]/footer/div/div/div/div/div[3]/div/div[1]/div[4]/div/div/div/span/div/ul/li[7]/a","Footer","HTML"
