"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://nmgtechnologies.com/","https://nmgtechnologies.com/hubfs/Pubnub.png","Pubnub","6","Absolute","//body/div[2]/main/div/div/div/div/div[17]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][3]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/","https://nmgtechnologies.com/hs-fs/hubfs/star-ratinng.png?width=116&name=star-ratinng.png","star-ratinng","12","Absolute","//body/div[2]/main/div/div/div/div/div[11]/div/div[2]/div/div/div/div/span/p/strong/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/clients/case-studies/","https://nmgtechnologies.com/hs-fs/hubfs/star-ratinng.png?width=116&name=star-ratinng.png","star-ratinng","12","Absolute","//body/div[2]/main/div/div/div/div/div[6]/div/div[2]/div/div/div/div/span/p/strong/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/clients/case-studies/","https://nmgtechnologies.com/hs-fs/hubfs/star-ratinng.png?width=116&name=star-ratinng.png","star-ratinng","12","Absolute","//body/div[2]/main/div/div/div/div/div[11]/div/div[2]/div/div/div/div/span/p/strong/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/success-stories/atlys-case-study","https://nmgtechnologies.com/hs-fs/hubfs/star-ratinng.png?width=116&name=star-ratinng.png","star-ratinng","12","Absolute","//body/div[2]/main/div/div/div/div/div[26]/div/div[2]/div/div/div/div/span/p/strong/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/","https://nmgtechnologies.com/hubfs/blog-home-img.webp","blog-home-img","13","Absolute","//body/div[2]/main/div/div/div/div/div[19]/div/div[1]/div[1]/div/div/div/span/a/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[4]/div/div/div/div/div/div/div/ul/li[5]/img","Content","HTML","","162x130",""
"Image","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[17]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/wordpress-development","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[17]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/solution/portals/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[18]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/solution/fintech/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[14]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/services/web-development","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[17]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/ai-driven-enterprise-software-development","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[16]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/solution/artificial-intelligence/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[15]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/ai-machine-learning-solutions","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[16]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/solution/cloud-apps/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[15]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/services/mobile-application-development/android-app-development","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[22]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/services/dedicated-team-setups/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[19]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/services/mobile-application-development/ios-app-development/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[20]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/ai-enhanced-web-mobile-application-development","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[16]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/services/shopify","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[18]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/services/custom-software-development/php-development/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[17]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
"Image","https://nmgtechnologies.com/services/ecommerce-development/magento-development/","https://nmgtechnologies.com/hubfs/top-healthcare.svg","top-healthcare","14","Absolute","//body/div[2]/main/div/div/div/div/div[17]/div/div/div/div/div/div/div/div/div[@class='clients-block-item'][5]/img","Content","HTML","","",""
