"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://nmgtechnologies.com/blog/tag/events","1","Events | Blog Description","25","156","Indexable",""
"https://nmgtechnologies.com/services/shopify","1","Shopify Development","19","137","Indexable",""
"https://nmgtechnologies.com/blog","1","Blog Description","16","103","Indexable",""
"https://nmgtechnologies.com/blog/author/nishtha","1","Blog Description","16","103","Indexable",""
"https://nmgtechnologies.com/blog/tag/featured","1","Featured | Blog Description","27","170","Indexable",""
"https://nmgtechnologies.com/blog/tag/technology","1","Technology | Blog Description","29","187","Indexable",""
"https://nmgtechnologies.com/blog/tag/web","1","Web | Blog Description","22","142","Indexable",""
"https://nmgtechnologies.com/blog/tag/design","1","Design | Blog Description","25","157","Indexable",""
"https://nmgtechnologies.com/blog/tag/outsourcing","1","Outsourcing | Blog Description","30","190","Indexable",""
"https://nmgtechnologies.com/blog/tag/growth","1","Growth | Blog Description","25","159","Indexable",""
"https://nmgtechnologies.com/blog/tag/mobile","1","Mobile | Blog Description","25","156","Indexable",""
"https://nmgtechnologies.com/blog/tag/marketing","1","Marketing | Blog Description","28","178","Indexable",""
"https://nmgtechnologies.com/blog/tag/search-engine-optimization","1","Search Engine Optimization | Blog Description","45","288","Indexable",""
"https://nmgtechnologies.com/blog/tag/events/page/2","1","Events | Blog Description (2)","29","177","Indexable",""
