"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://nmgtechnologies.com/wordpress-development","1","WordPress Development","21","218","Indexable",""
"https://nmgtechnologies.com/services/web-development","1","Web Development","15","160","Indexable",""
"https://nmgtechnologies.com/blog/tag/events","1","Blog | Events","13","114","Indexable",""
"https://nmgtechnologies.com/services/dedicated-team-setups/","1","Dedicated Team Setups","21","211","Indexable",""
"https://nmgtechnologies.com/services/shopify","1","Shopify Development","19","188","Indexable",""
"https://nmgtechnologies.com/sitemap","1","Sitemap - NMG Technologies","26","258","Indexable",""
"https://nmgtechnologies.com/contact-us","1","Contact Us - NMG Technologies","29","282","Indexable",""
"https://nmgtechnologies.com/services/erp-development","1","ERP Development","15","157","Indexable",""
"https://nmgtechnologies.com/blog","1","Blog","4","40","Indexable",""
"https://nmgtechnologies.com/services/crm-development","1","CRM Development Services","24","242","Indexable",""
"https://nmgtechnologies.com/disclaimer","1","Website Disclaimer","18","170","Indexable",""
"https://nmgtechnologies.com/blog/author/nishtha","1","Blog | Nishtha","14","124","Indexable",""
"https://nmgtechnologies.com/blog/tag/featured","1","Blog | Featured","15","133","Indexable",""
"https://nmgtechnologies.com/blog/tag/technology","1","Blog | Technology","17","158","Indexable",""
"https://nmgtechnologies.com/blog/tag/web","1","Blog | Web","10","94","Indexable",""
"https://nmgtechnologies.com/blog/tag/design","1","Blog | Design","13","115","Indexable",""
"https://nmgtechnologies.com/blog/tag/outsourcing","1","Blog | Outsourcing","18","162","Indexable",""
"https://nmgtechnologies.com/blog/tag/growth","1","Blog | Growth","13","118","Indexable",""
"https://nmgtechnologies.com/blog/tag/mobile","1","Blog | Mobile","13","114","Indexable",""
"https://nmgtechnologies.com/blog/tag/marketing","1","Blog | Marketing","16","144","Indexable",""
"https://nmgtechnologies.com/blog/tag/events/page/2","1","Blog | Events (2)","17","144","Indexable",""
